concept_id,alias,priority
community_knowledge_domain,community,90
community_work_object,community,100
companion_work_object,companion,100
compliance,compliance,100
component_work_object,component,100
computer_computer_product,computer computer,100
computer_knowledge_domain,computing,95
computer_knowledge_domain,computer,90
computer_knowledge_domain,computer science,90
computer_knowledge_domain,informatics,85
computer_knowledge_domain,computer study,80
computer_product,computer,100
computer_product,computing device,95
computer_product,desktop computer,90
computer_product,personal computer,85
computer_product,computer product,80
computer_software_work_object,computer software,100
computer_work_object,computer,100
computer_work_object,computer system,95
computer_work_object,computing system,90
computer_work_object,workstation,85
computer_work_object,pc,80
computers_product,computers,90
computers_work_object,computers,100
concierge_work_object,concierge,100
concrete_product_work_object,concrete product,100
concrete_product_work_object,produs din beton,94
concrete_work_object,concrete,100
confectionery_product,confectionery,100
confectionery_work_object,confectionery,100
configuration,configuration,100
construction,construction,100
construction,building construction,96
construction,asfalt,94
construction,beton,94
construction,caramida,94
construction,civil construction,94
construction,demolare,94
construction,demolition,94
construction,drum,94
construction,drumuri,94
construction,ehitus,94
construction,epitesi,94
construction,epitoipari,94
construction,insulation,94
construction,izolatie,94
construction,pod,94
construction,poduri,94
construction,roads,94
construction,subteran,94
construction,surveying,94
construction,teede,94
construction,terrazzo,94
construction,topografie,94
construction,tower,94
construction,tunel,94
construction,turn,94
construction,underground,94
construction,constructii civile industriale,92
construction,construction engineering,92
construction,construction safety,90
construction,site construction,90
construction,construction site,88
construction,built environment,85
construction,building construction equipment,80
construction,building construction equipment maintenance,80
construction,cei construction engineering,80
consul_work_object,consul,100
consumer_good_work_object,consumer good,100
consumer_knowledge_domain,consumer,90
consumer_right_work_object,consumer right,100
consumer_work_object,consumer,100
contact_knowledge_domain,contact,100
container_product,container,90
container_work_object,container,100
contract_negotiator_knowledge_domain,contract negotiator,100
contract_negotiator_knowledge_domain,negociator de contracte,94
contract_work_object,contract,100
control,control,100
conveyance_work_object,conveyance,100
coordination,coordination,100
coppersmith_work_object,coppersmith,100
copy_knowledge_domain,copy,100
copy_knowledge_domain,copie,94
coquille_task,coquille,100
corporate,corporate,100
correctional,correctional,100
correspondence,correspondence,100
correspondent_knowledge_domain,correspondent,100
corrugator_work_object,corrugator,100
cosmetics_knowledge_domain,cosmetics,80
cosmetics_product,cosmetics,100
cosmetics_work_object,cosmetics,90
cost_estimator_work_object,cost estimator,100
cost_knowledge_domain,cost,100
costume_designer_work_object,costume designer,100
costume_product,costume,100
cotton_gin_work_object,cotton gin,100
counselling,counselling,100
counter_work_object,counter,100
countryside_work_object,countryside,100
court,court,100
court,judecatorie,94
court,kohus,94
court,tribunal,94
court,tribunale,94
covid_work_object,covid,100
craft_work_object,craft,100
crane_crew_work_object,crane crew,100
crane_work_object,crane,100
credit_knowledge_domain,credit,100
credit_union_work_object,credit union,100
crew_member_task,crew member,100
crime_knowledge_domain,crime,100
crime_knowledge_domain,infracțiune,94
crisis_helpline_work_object,crisis helpline,100
crisis_industry,crisis,100
crop_industry,crop,100
crop_industry,cultură agricolă,94
crosscut_saw_work_object,crosscut saw,100
crowd_work_object,crowd,100
crustaceans_product,crustaceans,100
cultural,cultural,100
curriculum_work_object,curriculum,100
custom_work_object,custom,100
customer,customer,100
customers,customers,100
cutting,cutting,100
cyber_incident_responder_work_object,cyber incident responder,100
cyber_incident_responder_work_object,responsabil cu răspunsul la incidente cibernetice,94
cybersecurity_task,cybersecurity,100
cylinder_work_object,cylinder,100
dairy,dairy,100
dance_knowledge_domain,dance,100
dance_repetiteur_work_object,dance repetiteur,100
dangerou_good_task,dangerou good,100
data_knowledge_domain,analytics,96
data_knowledge_domain,data science,95
data_knowledge_domain,business analytics,94
data_knowledge_domain,data analytics,92
data_knowledge_domain,data,90
data_knowledge_domain,data analysis,90
data_knowledge_domain,data engineering,90
data_knowledge_domain,geographic information systems,86
data_knowledge_domain,gis,84
data_knowledge_domain,logistics analytics,80
data_work_object,data,100
data_work_object,big data,96
data_work_object,dataset,95
data_work_object,data acquisition,94
data_work_object,data platform,92
data_work_object,data set,90
data_work_object,data warehouse,90
data_work_object,gis data,88
data_work_object,data pipeline,85
data_work_object,control data acquisition,80
data_work_object,control data acquisition security,80
data_work_object,data acquisition security,80
data_work_object,supervisory control data acquisition,80
database_designer_work_object,database designer,100
database_designer_work_object,proiectant de baze de date,94
database_integrator_work_object,database integrator,100
database_integrator_work_object,integrator de baze de date,94
database_product,database platform,95
database_product,database,90
database_product,database solution,90
database_product,database product,85
database_product,db product,80
database_work_object,database,100
database_work_object,database administration,96
database_work_object,data store,95
database_work_object,database design,94
database_work_object,database development,92
database_work_object,database integrator,90
database_work_object,datastore,90
database_work_object,database security,88
database_work_object,scientific database,86
database_work_object,db,85
database_work_object,warehouse database,84
database_work_object,database administration project,80
database_work_object,database development project,80
database_work_object,database system,80
day_task,day,100
de_icer,de-icer,100
dean_work_object,dean,100
debarker_work_object,debarker,100
debt_work_object,debt,100
deck_work_object,deck,100
deckhand_industry,deckhand,100
deep_sea_industry,deep sea,100
deep_sea_industry,mare adâncime,94
defence_task,defence,100
delicatessen_product,delicatessen,100
delivery,delivery,100
delivery,distribuție,94
dentistry_knowledge_domain,dentistry,100
department,department,100
dependability_work_object,dependability,100
deputy_knowledge_domain,deputy,100
derrickhand_work_object,derrickhand,100
derrickhand_work_object,operator al turlei de foraj,94
design,design,100
design,designer,94
design,kujundus,94
design,peisagistica,94
design,planificare,94
design,planificator,94
design,planner,94
design,proiectant,94
design,proiectare,94
design,tervezesi,94
design,applied arts,91
desktop_publisher_work_object,desktop publisher,100
development,development,100
development,product development,95
development,solution development,90
development,service development,85
development,system development,80
device_product,device,96
device_product,aparatura,94
device_product,dispozitive,94
device_product,instrumentatie,94
device_product,instrumentation,94
device_product,keszulek,94
device_product,optic,94
device_product,optica,94
device_product,optical,94
device_product,optoelectronic,94
device_product,optomechanical,94
device_product,seade,94
device_work_object,device,100
device_work_object,aparatura,94
device_work_object,dispozitive,94
device_work_object,instrumentatie,94
device_work_object,instrumentation,94
device_work_object,keszulek,94
device_work_object,optic,94
device_work_object,optica,94
device_work_object,optical,94
device_work_object,optoelectronic,94
device_work_object,optomechanical,94
device_work_object,seade,94
devices_product,devices,90
devices_work_object,devices,100
die_work_object,die,100
diesel_work_object,diesel,100
diet_work_object,diet,100
digester_work_object,digester,100
digestion,digestion,100
digital,digital,100
dip_work_object,dip,100
diplomat_work_object,diplomat,100
disability_task,disability,100
disaster_knowledge_domain,disaster,100
disaster_knowledge_domain,dezastru,94
disc_jockey_work_object,disc jockey,100
disc_work_object,disc,100
disk_product,disk,100
distillery_miller_work_object,distillery miller,100
distillery_work_object,distillery,100
distribution,distribution,100
distribution,distribution channel,95
distribution,livrare,94
distribution,supply distribution,90
distribution,goods distribution,85
distribution,product distribution,80
dividend_knowledge_domain,dividend,100
doctor_surgery_work_object,doctor surgery,100
documentation,documentation,100
documentation,documentare,94
dog_knowledge_domain,dog,100
doll_work_object,doll,100
door_product,door,100
door_work_object,door,90
doorman_doorwoman_work_object,doorman doorwoman,100
drain_work_object,drain,100
drainage_work_object,drainage,100
drama,drama,100
dramaturge_work_object,dramaturge,100
drapery_work_object,drapery,100
dredge_work_object,dredge,100
drill_product,drill,90
drill_work_object,drill,100
driving,driving,100
driving,driver,94
driving,sofer,94
driving,soferi,94
drone_work_object,drone,100
drop_task,drop,100
drop_task,picătură,94
drug_task,drug,100
drug_task,drog,94
drugs_product,drugs,100
drugstore_work_object,drugstore,100
dry_work_object,dry,100
dry_work_object,uscat,94
dryer_work_object,dryer,100
duty_work_object,duty,100
e_learning,e-learning,100
